10,79,24,45,76,49,73,29,58,21,2,53,3,5,75,22,62,33,37,44
26,54,49,71,34,64,30,62,46,42,66,1,25,53,61,78,48,52,44,12
14,49,4,75,32,66,77,72,33,40,63,45,73,62,79,48,3,7,29,6
49,23,52,47,79,55,50,44,53,22,48,74,12,14,38,63,56,35,7,16
68,27,17,45,26,52,49,23,77,3,1,41,48,38,36,64,10,70,14,31
2,46,68,29,80,76,20,10,9,16,22,79,14,50,38,37,53,6,15,51
21,30,8,54,62,7,5,65,55,77,10,53,38,42,50,3,69,57,9,72
78,80,58,79,41,13,10,50,37,38,16,14,15,35,69,53,42,75,3,1
67,52,28,62,40,80,58,55,14,23,16,78,56,9,35,49,8,22,12,15
53,40,11,65,3,28,15,8,2,75,58,80,43,52,25,61,7,79,24,73
25,58,67,68,6,39,2,19,31,29,47,72,62,51,42,48,69,20,5,60
